0.0,[info],turtlebot5,skill-life-cycle,init_robobt,(status=RUNNING, parameters=[])
0.0,[info],turtlebot2,skill-life-cycle,init_robobt,(status=RUNNING, parameters=[])
0.0,[info],turtlebot4,skill-life-cycle,init_robobt,(status=RUNNING, parameters=[])
0.0,[info],turtlebot3,skill-life-cycle,init_robobt,(status=RUNNING, parameters=[])
0.0,[debug],turtlebot2,available-skills,['send_message', 'wait_message', 'approach_person', 'approach_robot', 'authenticate_person', 'deposit', 'navigation', 'operate_drawer', 'pick_up'],
0.0,[info],turtlebot2,skill-life-cycle,navigation,(status=STARTED, parameters=[[-37.0, 21.5, -1.5707963267948966, True], [-37.0, 16.0, 0.0, True], [-28.5, 16.0, 1.5707963267948966, True], [-28.5, 18.0, -1.57, False]])
0.0,[info],turtlebot2,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 21.5, -1.5707963267948966, True], [-37.0, 16.0, 0.0, True], [-28.5, 16.0, 1.5707963267948966, True], [-28.5, 18.0, -1.57, False]])
0.0,[info],turtlebot2,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 21.5, -1.5707963267948966, True], [-37.0, 16.0, 0.0, True], [-28.5, 16.0, 1.5707963267948966, True], [-28.5, 18.0, -1.57, False]])
0.0,[info],turtlebot2,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 21.5, -1.5707963267948966, True], [-37.0, 16.0, 0.0, True], [-28.5, 16.0, 1.5707963267948966, True], [-28.5, 18.0, -1.57, False]])
0.0,[info],turtlebot2,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 21.5, -1.5707963267948966, True], [-37.0, 16.0, 0.0, True], [-28.5, 16.0, 1.5707963267948966, True], [-28.5, 18.0, -1.57, False]])
0.0,[info],turtlebot2,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 21.5, -1.5707963267948966, True], [-37.0, 16.0, 0.0, True], [-28.5, 16.0, 1.5707963267948966, True], [-28.5, 18.0, -1.57, False]])
0.0,[info],turtlebot2,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 21.5, -1.5707963267948966, True], [-37.0, 16.0, 0.0, True], [-28.5, 16.0, 1.5707963267948966, True], [-28.5, 18.0, -1.57, False]])
0.0,[info],turtlebot2,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 21.5, -1.5707963267948966, True], [-37.0, 16.0, 0.0, True], [-28.5, 16.0, 1.5707963267948966, True], [-28.5, 18.0, -1.57, False]])
0.0,[info],turtlebot2,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 21.5, -1.5707963267948966, True], [-37.0, 16.0, 0.0, True], [-28.5, 16.0, 1.5707963267948966, True], [-28.5, 18.0, -1.57, False]])
0.0,[info],turtlebot2,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 21.5, -1.5707963267948966, True], [-37.0, 16.0, 0.0, True], [-28.5, 16.0, 1.5707963267948966, True], [-28.5, 18.0, -1.57, False]])
0.0,[info],turtlebot2,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 21.5, -1.5707963267948966, True], [-37.0, 16.0, 0.0, True], [-28.5, 16.0, 1.5707963267948966, True], [-28.5, 18.0, -1.57, False]])
0.0,[info],turtlebot2,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 21.5, -1.5707963267948966, True], [-37.0, 16.0, 0.0, True], [-28.5, 16.0, 1.5707963267948966, True], [-28.5, 18.0, -1.57, False]])
0.0,[info],turtlebot2,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 21.5, -1.5707963267948966, True], [-37.0, 16.0, 0.0, True], [-28.5, 16.0, 1.5707963267948966, True], [-28.5, 18.0, -1.57, False]])
0.0,[info],turtlebot2,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 21.5, -1.5707963267948966, True], [-37.0, 16.0, 0.0, True], [-28.5, 16.0, 1.5707963267948966, True], [-28.5, 18.0, -1.57, False]])
0.0,[info],turtlebot2,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 21.5, -1.5707963267948966, True], [-37.0, 16.0, 0.0, True], [-28.5, 16.0, 1.5707963267948966, True], [-28.5, 18.0, -1.57, False]])
0.0,[info],turtlebot2,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 21.5, -1.5707963267948966, True], [-37.0, 16.0, 0.0, True], [-28.5, 16.0, 1.5707963267948966, True], [-28.5, 18.0, -1.57, False]])
0.0,[info],turtlebot2,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 21.5, -1.5707963267948966, True], [-37.0, 16.0, 0.0, True], [-28.5, 16.0, 1.5707963267948966, True], [-28.5, 18.0, -1.57, False]])
0.0,[info],turtlebot2,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 21.5, -1.5707963267948966, True], [-37.0, 16.0, 0.0, True], [-28.5, 16.0, 1.5707963267948966, True], [-28.5, 18.0, -1.57, False]])
0.0,[info],turtlebot2,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 21.5, -1.5707963267948966, True], [-37.0, 16.0, 0.0, True], [-28.5, 16.0, 1.5707963267948966, True], [-28.5, 18.0, -1.57, False]])
0.0,[info],turtlebot2,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 21.5, -1.5707963267948966, True], [-37.0, 16.0, 0.0, True], [-28.5, 16.0, 1.5707963267948966, True], [-28.5, 18.0, -1.57, False]])
0.0,[info],turtlebot2,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 21.5, -1.5707963267948966, True], [-37.0, 16.0, 0.0, True], [-28.5, 16.0, 1.5707963267948966, True], [-28.5, 18.0, -1.57, False]])
0.0,[info],turtlebot2,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 21.5, -1.5707963267948966, True], [-37.0, 16.0, 0.0, True], [-28.5, 16.0, 1.5707963267948966, True], [-28.5, 18.0, -1.57, False]])
0.0,[info],turtlebot2,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 21.5, -1.5707963267948966, True], [-37.0, 16.0, 0.0, True], [-28.5, 16.0, 1.5707963267948966, True], [-28.5, 18.0, -1.57, False]])
0.0,[debug],simulation closed,timeout-wall,execution-wall-clock=2700.4354684352875
