0.0,[info],turtlebot2,skill-life-cycle,init_robobt,(status=RUNNING, parameters=[])
0.0,[info],turtlebot1,skill-life-cycle,init_robobt,(status=RUNNING, parameters=[])
0.0,[info],turtlebot3,skill-life-cycle,init_robobt,(status=RUNNING, parameters=[])
0.0,[info],turtlebot5,skill-life-cycle,init_robobt,(status=RUNNING, parameters=[])
0.0,[debug],turtlebot5,available-skills,['send_message', 'wait_message', 'approach_person', 'approach_robot', 'authenticate_person', 'deposit', 'navigation', 'operate_drawer', 'pick_up'],
0.0,[info],turtlebot5,skill-life-cycle,navigation,(status=STARTED, parameters=[[-37.0, 33.98, -1.5707963267948966, True], [-37.0, 18.93, 0.0, True], [-33.9, 18.93, 3.14, False]])
0.0,[info],turtlebot5,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 33.98, -1.5707963267948966, True], [-37.0, 18.93, 0.0, True], [-33.9, 18.93, 3.14, False]])
0.0,[info],turtlebot5,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 33.98, -1.5707963267948966, True], [-37.0, 18.93, 0.0, True], [-33.9, 18.93, 3.14, False]])
0.0,[info],turtlebot5,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 33.98, -1.5707963267948966, True], [-37.0, 18.93, 0.0, True], [-33.9, 18.93, 3.14, False]])
0.0,[info],turtlebot5,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 33.98, -1.5707963267948966, True], [-37.0, 18.93, 0.0, True], [-33.9, 18.93, 3.14, False]])
0.0,[info],turtlebot5,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 33.98, -1.5707963267948966, True], [-37.0, 18.93, 0.0, True], [-33.9, 18.93, 3.14, False]])
0.0,[info],turtlebot5,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 33.98, -1.5707963267948966, True], [-37.0, 18.93, 0.0, True], [-33.9, 18.93, 3.14, False]])
0.0,[info],turtlebot5,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 33.98, -1.5707963267948966, True], [-37.0, 18.93, 0.0, True], [-33.9, 18.93, 3.14, False]])
0.0,[info],turtlebot5,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 33.98, -1.5707963267948966, True], [-37.0, 18.93, 0.0, True], [-33.9, 18.93, 3.14, False]])
0.0,[info],turtlebot5,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 33.98, -1.5707963267948966, True], [-37.0, 18.93, 0.0, True], [-33.9, 18.93, 3.14, False]])
0.0,[info],turtlebot5,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 33.98, -1.5707963267948966, True], [-37.0, 18.93, 0.0, True], [-33.9, 18.93, 3.14, False]])
0.0,[debug],simulation closed,timeout-wall,execution-wall-clock=2700.45636844635
